title,url
Completed#Compass 2.0－Sentou Setsuri Kaiseki System2025EP12TV,https://otakudesu.fit/series/compass-2-0%ef%bc%8dsentou-setsuri-kaiseki-system/
CompletedChuuzenji-sensei Mononoke Kougiroku: Sensei ga Nazo wo Hodoite Shimau kara.2025EP12TV,https://otakudesu.fit/series/chuuzenji-sensei-mononoke-kougiroku-sensei-ga-nazo-wo-hodoite-shimau-kara/
CompletedSummer Pockets2025EP26TV,https://otakudesu.fit/series/summer-pockets/
CompletedVigilante: Boku no Hero Academia Illegals2025EP14TV,https://otakudesu.fit/series/vigilante-boku-no-hero-academia-illegals/
CompletedZatsu Tabi: That’s Journey2025EP12TV,https://otakudesu.fit/series/zatsu-tabi-thats-journey/
CompletedAharen-san wa Hakarenai Season 22022EP12TV,https://otakudesu.fit/series/aharen-san-wa-hakarenai-season-2/
CompletedKakushite! Makina San!!2025EP12TV,https://otakudesu.fit/series/kakushite-makina-san/
CompletedChotto dake Ai ga Omoi Dark Elf ga Isekai kara Oikaketekita2025EP12TV,https://otakudesu.fit/series/chotto-dake-ai-ga-omoi-dark-elf-ga-isekai-kara-oikaketekita/
CompletedGorilla no Kami kara Kago sareta Reijou wa Ouritsu Kishidan de Kawaigarareru2025EP12TV,https://otakudesu.fit/series/gorilla-no-kami-kara-kago-sareta-reijou-wa-ouritsu-kishidan-de-kawaigarareru/
CompletedMaebashi Witches2025EP12TV,https://otakudesu.fit/series/maebashi-witches/
CompletedWitch Watch2025EP25TV,https://otakudesu.fit/series/witch-watch/
CompletedLazarus2025EP13TV,https://otakudesu.fit/series/lazarus/
CompletedTu Bian Yingxiong X2025EP24TV,https://otakudesu.fit/series/to-be-hero-x/
CompletedShoushimin Series 2nd Season2024EP12TV,https://otakudesu.fit/series/shoushimin-series-2nd-season/
CompletedKuroshitsuji: Midori no Majo-hen2008EP13TV,https://otakudesu.fit/series/kuroshitsuji-midori-no-majo-hen/
"CompletedKatainaka no Ossan, Kensei ni Naru2025EP12TV",https://otakudesu.fit/series/katainaka-no-ossan-kensei-ni-naru/
CompletedKowloon Generic Romance2025EP13TV,https://otakudesu.fit/series/kowloon-generic-romance/
CompletedGUILTY GEAR STRIVE: DUAL RULERS2025EP8TV,https://otakudesu.fit/series/guilty-gear-strive-dual-rulers/
CompletedAnne Shirley2025EP24TV,https://otakudesu.fit/series/anne-shirley/
CompletedSlime Taoshite 300-nen Shiranai Uchi ni Level MAX ni Nattemashita: Sono ni2021EP12TV,https://otakudesu.fit/series/slime-taoshite-300-nen-shiranai-uchi-ni-level-max-ni-nattemashita-sono-ni/
CompletedShin Samurai-den YAIBA2025EP24TV,https://otakudesu.fit/series/shin-samurai-den-yaiba/
CompletedNazotoki wa Dinner no Ato de2025EP12TV,https://otakudesu.fit/series/nazotoki-wa-dinner-no-ato-de/
CompletedEnen no Shouboutai: San no Shou2019EP12TV,https://otakudesu.fit/series/enen-no-shouboutai-san-no-shou/
CompletedBye Bye Earth Season 22024EP11TV,https://otakudesu.fit/series/bye-bye-earth-season-2/
"CompletedDanjo no Yuujou wa Seiritsu suru? (Iya, Shinai!!)2025EP12TV",https://otakudesu.fit/series/danjo-no-yuujou-wa-seiritsu-suru-iya-shinai/
CompletedWIND BREAKER Season 22024EP12TV,https://otakudesu.fit/series/wind-breaker-season-2/
CompletedRock wa Lady no Tashinami Deshite2025EP13TV,https://otakudesu.fit/series/rock-wa-lady-no-tashinami-deshite/
CompletedIsshun de Chiryou Shiteita no ni Yakutatazu to Tsuihou Sareta Tensai Chiyushi Yami Healer Toshite Tanoshiku Ikiru2025EP12TV,https://otakudesu.fit/series/isshun-de-chiryou-shiteita-no-ni-yakutatazu-to-tsuihou-sareta-tensai-chiyushi-yami-healer-toshite-tanoshiku-ikiru/
CompletedKanpekisugite Kawaige ga Nai to Konyaku Haki sareta Seijo wa Ringoku ni Urareru2025EP12TV,https://otakudesu.fit/series/kanpekisugite-kawaige-ga-nai-to-konyaku-haki-sareta-seijo-wa-ringoku-ni-urareru/
"CompletedHaite Kudasai, Takamine-san2025EP12TV",https://otakudesu.fit/series/please-put-them-on-takamine-san/
CompletedYour Forma2025EP13TV,https://otakudesu.fit/series/your-forma/
CompletedSaikyou no Ousama Nidome no Jinsei wa Nani wo Suru?2025EP12TV,https://otakudesu.fit/series/saikyou-no-ousama-nidome-no-jinsei-wa-nani-wo-suru/
Ballpark de Tsukamaete!2025EP12TV,https://otakudesu.fit/series/ballpark-de-tsukamaete/
CompletedAru Majo ga Shinu Made2025EP12TV,https://otakudesu.fit/series/aru-majo-ga-shinu-made/
CompletedKijin Gentoushou2025EP24TV,https://otakudesu.fit/series/kijin-gentoushou/
"CompletedKanchigai no Atelier Meister: Eiyuu Party no Moto Zatsuyougakari ga, Jitsu wa Sentou Igai ga SSS Rank Datta to Iu Yoku Aru Hanashi2025EP12TV",https://otakudesu.fit/series/kanchigai-no-atelier-meister-eiyuu-party-no-moto-zatsuyougakari-ga-jitsu-wa-sentou-igai-ga-sss-rank-datta-to-iu-yoku-aru-hanashi/
CompletedOre wa Seikan Kokka no Akutoku Ryoushu!2025EP12TV,https://otakudesu.fit/series/ore-wa-seikan-kokka-no-akutoku-ryoushu/
SK∞ Extra Part-EP1TV,https://otakudesu.fit/series/sk%e2%88%9e-extra-part/
CompletedSentai Red Isekai de Boukensha ni Naru2024EP12TV,https://otakudesu.fit/series/sentai-red-isekai-de-boukensha-ni-naru/
Kinnikuman: Kanpeki Choujin Shiso-hen Season 22024EP8TV,https://otakudesu.fit/series/kinnikuman-kanpeki-choujin-shiso-hen-season-2/
CompletedKimi no Koto ga Dai Dai Dai Dai Daisuki na 100-nin no Kanojo 2nd Season2023EP12TV,https://otakudesu.fit/series/kimi-no-koto-ga-dai-dai-dai-dai-daisuki-na-100-nin-no-kanojo-2nd-season/
Mashin Souzouden Wataru2025EP12TV,https://otakudesu.fit/series/mashin-souzouden-wataru/
CompletedJibaku Shounen Hanako-kun 22020EP12TV,https://otakudesu.fit/series/jibaku-shounen-hanako-kun-2/
"CompletedA-Rank Party wo Ridatsu Shita Ore wa, Moto Oshiegotachi to Meikyuu Shinbu wo Mezasu.2025EP24TV",https://otakudesu.fit/series/a-rank-party-wo-ridatsu-shita-ore-wa-moto-oshiegotachi-to-meikyuu-shinbu-wo-mezasu/
Baban Baban Ban Vampire2025EP12TV,https://otakudesu.fit/series/baban-baban-ban-vampire/
UniteUp!: Uni:Birth2023EP10TV,https://otakudesu.fit/series/uniteup-unibirth/
CompletedSAKAMOTO DAYS2025EP11TV,https://otakudesu.fit/series/sakamoto-days/
Cardfight!! Vanguard: Divinez – Deluxe-hen2021EP3TV,https://otakudesu.fit/series/cardfight-vanguard-divinez-deluxe-hen/
"CompletedGuild no Uketsukejou desu ga, Zangyou wa Iya nanode Boss wo Solo Tobatsu Shiyou to Omoimasu2025EP12TV",https://otakudesu.fit/series/guild-no-uketsukejou-desu-ga-zangyou-wa-iya-nanode-boss-wo-solo-tobatsu-shiyou-to-omoimasu/
Mahoutsukai Precure!! MIRAI DAYS2016EP7TV,https://otakudesu.fit/series/mahoutsukai-precure-mirai-days/
Übel Blatt2025EP12TV,https://otakudesu.fit/series/ubel-blatt/
CompletedKusuriya no Hitorigoto 2nd Season2023EP24TV,https://otakudesu.fit/series/kusuriya-no-hitorigoto-2nd-season/
CompletedFarmagia2025EP12TV,https://otakudesu.fit/series/farmagia/
CompletedNihon e Youkoso Elf-san.2025EP12TV,https://otakudesu.fit/series/nihon-e-youkoso-elf-san/
CompletedDouse Koishite Shimaunda2025EP12TV,https://otakudesu.fit/series/douse-koishite-shimaunda/
Sousei no Aquarion: Myth of Emotions2005EP12TV,https://otakudesu.fit/series/sousei-no-aquarion-myth-of-emotions/
CompletedAkuyaku Reijou Tensei Oji-san2025EP12TV,https://otakudesu.fit/series/akuyaku-reijou-tensei-oji-san/
CompletedFuguushoku [Kanteishi] ga Jitsu wa Saikyou Datta: Naraku de Kitaeta Saikyou no [Shingan] de Musou Suru2025EP12TV,https://otakudesu.fit/series/fuguushoku-kanteishi-ga-jitsu-wa-saikyou-datta-naraku-de-kitaeta-saikyou-no-shingan-de-musou-suru/
CompletedDr. STONE: SCIENCE FUTURE2019EP12TV,https://otakudesu.fit/series/dr-stone-science-future/
CompletedArafou Otoko no Isekai Tsuuhan Seikatsu2025EP13TV,https://otakudesu.fit/series/arafou-otoko-no-isekai-tsuuhan-seikatsu/
CompletedHoney Lemon Soda2025EP12TV,https://otakudesu.fit/series/honey-lemon-soda/
CompletedMagic Maker: Isekai Mahou no Tsukurikata2025EP12TV,https://otakudesu.fit/series/magic-maker-isekai-mahou-no-tsukurikata/
CompletedIshura 2nd Season2024EP12TV,https://otakudesu.fit/series/ishura-2nd-season/
"CompletedHana wa Saku, Shura no Gotoku2025EP12TV",https://otakudesu.fit/series/hana-wa-saku-shura-no-gotoku/
CompletedUnnamed Memory Act.22024EP12TV,https://otakudesu.fit/series/unnamed-memory-act-2/
"CompletedBotsuraku Yotei no Kizoku dakedo, Hima Datta kara Mahou wo Kiwamete mita2025EP13TV",https://otakudesu.fit/series/botsuraku-yotei-no-kizoku-dakedo-hima-datta-kara-mahou-wo-kiwamete-mita/
